,Datetime,Text
63,2020-04-14 22:57:48+00:00,"Fecha: 14 de abril del 2020 El ministerio de Salud confirma 127 nuevos casos de #coronavirus, 35 recuperados y 15 fallecidos, para un total de 2.979 pacientes con #Covid_19. #Cundinamarca suma 5 nuevo caso #Funza #Soacha #Pacho #Chía y #Villeta para un total de 120 pacientes."
64,2020-04-14 22:57:48+00:00,Barbosa ordena retiro de ambulantes en el estado por Covid-19. https://agenciainformativademexico.com/barbosa-ordena-retiro-de-ambulantes-en-el-estado-por-covid-19/
65,2020-04-14 22:57:48+00:00,"Están apoyando a Elektra, en esta contingencia no van a faltar juegos de sala, licuadoras para combatir al covid-19, claro a paguitos de 10, 20 o 30 años."
66,2020-04-14 22:57:48+00:00,"Data Center (and cloud) Demand and COVID-19: Analysts see massive shift toward essential services – video conferencing, #cloud collaboration platforms, social media, educational portals, VPN specialists, and gaming and streaming media. https://datacenterfrontier.com/a-cloudy-future-data-center-demand-and-covid-19/ via @dcfrontier"
67,2020-04-14 22:57:48+00:00,"Had to ban someone today for spreading misinformation about COVID-19 prevention. We're here to keep each other safe, not put each other in harm's way. Going forward I'll definitely continue that practice of banning for misinformation around the virus."
68,2020-04-14 22:57:48+00:00,"Perfecto, después del papelon que hicieron durante la pandemia del COVID-19, habría que repleantear el funcionamiento de este organismo de manera urgente. "
69,2020-04-14 22:57:48+00:00,"Por estos personajes martha lucia y ministra del interior , estamos viendo cuantos casos hay en colombia todo el virus covid 19 ingreso por el aeropuerto el dorado. "
70,2020-04-14 22:57:48+00:00,"One of the @WhiteHouse’s most egregious #COVID19 moves to date. This is what petty, feckless leadership looks like. Grateful for measured thoughtful local leadership from @GovTimWalz, @GovWhitmer &amp; others balancing the mentally flaccid chaos from the Trump administration."
71,2020-04-14 22:57:48+00:00,I just donated to the #COVID19Fund to support @WHO's response efforts to the global #COVID19 pandemic. Join me to help combat this growing global threat to people's health and well-being: http://www.covid19responsefund.org #WHO #coronavirus
72,2020-04-14 22:57:48+00:00,Ósea q este estupido salió a la calle y tiene covid-19. Noooo si pa eso no se estudia sii q lo saquen de Mexico y a orar por las personas q estuvieron cerca de este tratado 
73,2020-04-14 22:57:48+00:00,"Trumpkins are probably sociopathic because they have the hypothesized #DeplorableGene. After we find #COVID19 therapeutics and a vaccine to prevent #Coronavirus infection, let's develop a test for the #DeplorableGene for the benefit of #PublicSafety!"
74,2020-04-14 22:57:48+00:00,Eu não acredito que vc está com COVID 19 MENTIROSO
75,2020-04-14 22:57:47+00:00,"Trump detiene ""al menos temporalmente"" la financiación de Estados Unidos a la Organización Mundial de la Salud --WHO porque considera que ayudó a promover la ""desinfomación de China"" sobre el Covid-19 #coronavirus"
76,2020-04-14 22:57:47+00:00,"Well said Ricky. Didn't like you at first, but you have grown like a new breed of fungus. Covid-19 coronavirus: Ricky Gervais slams celebrities for lockdown complaints, via @nzherald"
77,2020-04-14 22:57:47+00:00,"Homme si dañas la máquina de pruebas covid19 y rechaza las 2 que le regalaba Venezuela, su imagen sube pues estamos en Colombia ehh avemaría papá aa"
78,2020-04-14 22:57:47+00:00,"""En lugar de garantizar el examen gratuito del COVID-19, en Chile se optó por militarizar el país"" ""En lugar de garantizar el examen gratuito del COVID-19, en Chile se optó por militarizar el país"": https://mundo.sputniknews.com/mundo/202004141091105984-en-lugar-de-garantizar-el-examen-gratuito-del-covid-19-en-chile-se-opto-por-militarizar-el-pais/ a través de @SputnikMundo"
79,2020-04-14 22:57:46+00:00,"Trump claims that other countries are looking for our tests??? Hey, @realDonaldTrump , there are Americans looking for tests. Where are they? #Briefing_COVID19 #laughable"
80,2020-04-14 22:57:46+00:00,"Here’s a tweet of Trump praising the World Health Organization on February 24, less than two months ago. Now, he’s trashing them. He can’t be allowed to find a scapegoat for his incompetent response to this virus. Facts still matter. #Covid_19 "
81,2020-04-14 22:57:46+00:00," #ConexiónT13 | Bono Covid 19 ""Va a existir una segunda edición. Pero, más que un bono, tenemos que pensar en un ingreso promedio por hogar que se garantice por los dos o tres meses más que dure la emergencia"", explica @sebastiansichel, ministro de @MinDesarrollo."
82,2020-04-14 22:57:46+00:00,Virar esquina? Aqui no Brasil na esquina a gente faz despacho para político americano individualista pegar Covid 19 mizifio.
83,2020-04-14 22:57:46+00:00,Eu vendo o Covid-19 acabando com as estreias dos meus animes!!! 
84,2020-04-14 22:57:46+00:00,Lo más esperado en las redes sociales hoy a las 8:00pm es el #DiálogoPopularLFConSantiago donde ampliará sobre soluciones al COVID-19 que ha afectado duramente a la ciudad corazón @ListinDiario @Franklinalm @AbelMartinezD @RaulMartinezM @prfjoseizq @keylaReyna04 @Adess8
85,2020-04-14 22:57:46+00:00,"Trump halts funding for W.H.O. W.H.O. knows a lot. They have been involved in vaccines & blood illnesses. Like AIDS. Africa. Where Malaria is the biggest killer. Malaria is a blood disease. Is COVID-19 a blood disease, too? You tell me. #COVID19 #HCQ"
86,2020-04-14 22:57:46+00:00,"So you’re saying Covid-19 existed, the lab studying bat pathogens could have found it and it accidentally got released into the public by the lab (as has happened with viruses). The point of origin first illness could have been the lab or from the virus that existed outside lab"
87,2020-04-14 22:57:45+00:00,"So how many were realistic? I know the numbers spanned a good deal of people, and those different models showed different numbers, but from my understanding, all of them were showing a lot. Right now, it's around 24,000 reported from COVID-19."
88,2020-04-14 22:57:45+00:00,"Can someone pls explain this roll-call of all CEO's and major companies? He's acting like it's the end credits of COVID-19, as if it's over??? Pls help me understand."
89,2020-04-14 22:57:45+00:00,"Habemos un poco de SIDA, conocen a alguien que murió por Covid-19? Aquí en Europa no conozco casos, y no soy Youtuber ni tictoker na nada de eso. Solo quiero un poco de @Verdad- Realidad"
90,2020-04-14 22:57:45+00:00,Trump: Now we have saliva. #COVID19
91,2020-04-14 22:57:45+00:00,2005 December: Dr Fauci warns us about the need to prepare for viral pandemic on CBS 60 Minutes. 2020 Trump: “No one could have predicted this ....” https://youtu.be/wP001Dum-Ps #coronavirus #covid19 #pandemic
92,2020-04-14 22:57:45+00:00,Covid 19 And hunger 19 are too different things ... If u escape one can u escape the other... I'm talking about average and poor Nigerians.
93,2020-04-14 22:57:45+00:00,Mr. President... you never mentioned United States Postal Service in today’s speech... we work very hard to get mail to all USA in this COVID 19 epidemic
94,2020-04-14 22:57:45+00:00,"Restarting MLB Season While COVID-19 Pandemic is Risky, Joe Hanna Tells Law360 | News | Goldberg Segalla "
95,2020-04-14 22:57:45+00:00,I’m so confused... why do all YouTube videos (BEEP) out anytime someone says “Coronavirus” or “covid-19”...?? someone help
96,2020-04-14 22:57:45+00:00,Now what can be the repercussions of these acts across the #USA? #coronavirus #COVID19 #anarchy #VenturaCounty
97,2020-04-14 22:57:45+00:00,"Not only was Julie Andrews QUEEN of Genovia, but she was also QUEEN of Far Far Away. Neither has any cases of Covid-19. Thats true leadership right there folks "
98,2020-04-14 22:57:45+00:00,"Do something, she’s clueless. Police state my arse. No respect for anyone but criminals. Don’t want covid19? Don’t want stopping by police to check your reasons? Stay at home, SIMPLE! "
99,2020-04-14 22:57:44+00:00,my grandpa died today and my friend has covid-19 
100,2020-04-14 22:57:44+00:00,LMAO What A Maroon... Jack Dorsey Gives 1 Billion Dollars To #COVID19 And Doesn't Even Get A Mention...
101,2020-04-14 22:57:44+00:00,"In the midst of the #COVID19 crisis, a bailout for the fossil fuel industry is the last thing we need. Send a message to tell your representatives that any bailout for the oil &amp; gas industry is totally unacceptable. #NoBigOilBailout #PeopleNotPolluters"
102,2020-04-14 22:57:44+00:00,"Por conta do risco de contaminação, profissionais que tratam doente com covid-19 usam roupas especiais. Entenda na reportagem #JornalDaRecord #JR24H"
103,2020-04-14 22:57:44+00:00,Trump doing a Diego Simeone and running down the clock for his 1 hour briefing so there's no time for questions at the end. #COVID19 #DonaldTrump #WorldHealthOrganization
104,2020-04-14 22:57:44+00:00,It is peak Idiocracy to want to end social distancing because COVID-19 numbers are leveling off as a direct result of social distancing.
105,2020-04-14 22:57:44+00:00,#AlMomento Rodríguez: Venezuela es el país con el promedio más bajo de casos de Covid19.
106,2020-04-14 22:57:44+00:00," Hoy la @CorteIDH publicó la Declaración #Covid-19 y Derechos Humanos: ""Los problemas y desafíos deben ser abordados con perspectiva de derechos humanos y respetando las obligaciones internacionales"". #ProtegiendoDerechos #CoronaVirus #DerechosHumanos"
107,2020-04-14 22:57:43+00:00,US is 42nd in the World on C19 testing per capita. #COVID19
108,2020-04-14 22:57:43+00:00,"(1/3) Fui a PVea x limón, fruta, agua, y aproveché en comprar 2 vinos y cigarros. Cuando estaba guardando las cosas en el carro, una militar empieza a gritar q soy un irresponsable x comprar trago, q sus colegas están muriendo. Prácticamente me culpó d la existencia del covid19."
109,2020-04-14 22:57:43+00:00,"Kate Snow, getting it done! Honest, open and transparent reporting on the manner COVID-19 impacts working Moms...well worth the watch."
110,2020-04-14 22:57:43+00:00,#COVID19 El sistema DIF Angostura habilitó una línea de atención ciudadana para brindar apoyo emocional a la ciudadanía ante el COVID-19. @Aglaeemontoya https://lineadirectaportal.com/sinaloa/abre-dif-angostura-linea-para-apoyo-emocional-ante-covid-19_20200414-994953/
111,2020-04-14 22:57:43+00:00,#COVID19 
112,2020-04-14 22:57:43+00:00,A portion of the article. #COVID19 https://twitter.com/bylenasun/status/1250192369623994371
113,2020-04-14 22:57:43+00:00,Miércoles de Baile y Sabor... 17:30 horas... Desde la comodidad de tu hogar por #facebooklive LATINO Las y Los Espero #covid19 #cuarentena #coronavirus #pandemiamundial #2020 en… https://www.instagram.com/p/B--pb6ehV70TyKK3GjFTzTy6vE4XZBLiuGPjBw0/?igshid=f8f1a88a6pfq
114,2020-04-14 22:57:43+00:00,La la “more testing than anyone”. La la “we were handed a broken system”. Perhaps if we put it to music! #TrumpPressConference #COVID19 #CoronaVirusUpdate #WhatIsHappening
115,2020-04-14 22:57:43+00:00,.@SteveNash and Dr. @davidcarr333 talk about the current COVID-19 situation and how to practice safe physical distance. @uninterrupted @SteveNashFdn Watch the full video: https://www.youtube.com/watch?v=pXmDHE6CXVs
116,2020-04-14 22:57:43+00:00, “He Died On His Birthday From COVID-19 — Just Nine Days After His Mom” by @BuzzFeedNews
117,2020-04-14 22:57:42+00:00,"With the recent pandemic and mandate to wear a Face Mask while out in public I am sharing how to Make a Face Mask with this simple, step by step Face Mask Tutorial. There is even a pocket for you to add a filter in it. https://www.theidearoom.net/how-to-make-a-face-mask/ #facemask #facemasks #COVID19 "
118,2020-04-14 22:57:42+00:00,"O que me deixa puto é essa mania que o brasileiro tem de ""ser especialista em tudo"", se nem os cientistas sabem ao certo tudo sobre o covid-19 vai ser tu, a pessoa que muitas vezes nem ensino médio tem que vai saber..."
119,2020-04-14 22:57:42+00:00,"“Ha sido rápido, el dolor viene después” ... cuanta razón tenia Felipe IV en estas palabras después de que Sánchez prometiera el cargo... lo qué no sabíamos es cuánto iba a doler... 18000 vidas #COVID19 #coronavirus #14Abril"
120,2020-04-14 22:57:42+00:00,Y fue así que un demente engreído e inútil pagó su cólera contra la OMS. Ojalá el Covid19 le siga pateando el Q-lo al INCOMPETENTE de Trump. 
121,2020-04-14 22:57:42+00:00,Tell Congress: We demand nurses are protected during COVID-19. Sign the @NationalNurses petition today:
122,2020-04-14 22:57:42+00:00,生きるか死ぬか もう運だね そこまで来てる #COVID19
